key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10,10011,"Smithing","RecipeLevelTable#5","Amateur's Claw Hammer",1,"Bronze Ingot",1,"Maple Lumber",1,"Fish Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
11,10012,"Smithing","RecipeLevelTable#5","Bronze Cross-pein Hammer",1,"Bronze Ingot",1,"Undyed Hempen Cloth",1,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
12,10013,"Smithing","RecipeLevelTable#5","Bronze Doming Hammer",1,"Bronze Ingot",1,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
13,10015,"Smithing","RecipeLevelTable#6","Amateur's Culinary Knife",1,"Bronze Ingot",1,"Maple Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
14,10014,"Smithing","RecipeLevelTable#6","Amateur's Mortar",1,"Bronze Ingot",2,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
15,10016,"Smithing","RecipeLevelTable#7","Viking Sword",1,"Bronze Ingot",1,"Leather",1,"Bone Chip",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
16,10018,"Smithing","RecipeLevelTable#7","Bronze Chaser Hammer",1,"Bronze Ingot",1,"Bronze Rivets",1,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
17,10017,"Smithing","RecipeLevelTable#7","Bronze Labrys",1,"Bronze Ingot",2,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
18,10021,"Smithing","RecipeLevelTable#8","Bronze Pickaxe",1,"Bronze Ingot",1,"Undyed Hempen Cloth",1,"Maple Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
19,10020,"Smithing","RecipeLevelTable#8","Bronze Head Knife",1,"Bronze Ingot",1,"Maple Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
20,10022,"Smithing","RecipeLevelTable#9","Cloud Axe",1,"Bronze War Axe",1,"Bronze Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
21,10023,"Smithing","RecipeLevelTable#9","Bronze Claw Hammer",1,"Bronze Ingot",1,"Maple Lumber",1,"Fish Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
22,10026,"Smithing","RecipeLevelTable#10","Bronze File",1,"Bronze Ingot",2,"Hard Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
23,10027,"Smithing","RecipeLevelTable#10","Bronze Pliers",1,"Bronze Ingot",1,"Bronze Rivets",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
24,10029,"Smithing","RecipeLevelTable#10","Bronze Mortar",1,"Bronze Ingot",2,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
25,10025,"Smithing","RecipeLevelTable#10","Amateur's Cross-pein Hammer",1,"Bronze Ingot",1,"Undyed Hempen Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
26,10028,"Smithing","RecipeLevelTable#10","Amateur's Chaser Hammer",1,"Bronze Ingot",1,"Bronze Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
27,10032,"Smithing","RecipeLevelTable#11","Bronze Awl",1,"Bronze Ingot",1,"Ash Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
28,10034,"Smithing","RecipeLevelTable#11","Bronze Scythe",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
29,10030,"Smithing","RecipeLevelTable#11","Amateur's Doming Hammer",1,"Bronze Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
30,10033,"Smithing","RecipeLevelTable#11","Amateur's Pickaxe",1,"Bronze Ingot",1,"Undyed Hempen Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
31,10031,"Smithing","RecipeLevelTable#11","Amateur's Head Knife",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
32,10037,"Smithing","RecipeLevelTable#12","Bronze Culinary Knife",1,"Bronze Ingot",1,"Ash Lumber",1,"Ragstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
33,10038,"Smithing","RecipeLevelTable#12","Bronze Sledgehammer",1,"Bronze Ingot",1,"Ash Lumber",1,"Animal Glue",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
34,10035,"Smithing","RecipeLevelTable#12","Amateur's Saw",1,"Bronze Ingot",1,"Bronze Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
35,10039,"Smithing","RecipeLevelTable#12","Amateur's Hatchet",1,"Bronze Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
36,10036,"Smithing","RecipeLevelTable#12","Bronze Ornamental Hammer",1,"Amateur's Chaser Hammer",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
37,10041,"Smithing","RecipeLevelTable#13","Bronze Knuckles",1,"Bronze Ingot",2,"Hard Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
38,10040,"Smithing","RecipeLevelTable#13","Bronze Spatha",1,"Bronze Ingot",1,"Hard Leather",1,"Ram Horn",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
39,10042,"Smithing","RecipeLevelTable#14","Spiked Bronze Labrys",1,"Bronze Ingot",3,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
40,10044,"Smithing","RecipeLevelTable#14","Brass Head Knife",1,"Bronze Head Knife",1,"Ragstone Whetstone",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
41,10046,"Smithing","RecipeLevelTable#15","Birdsbeak Hammer",1,"Bronze Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
42,10047,"Smithing","RecipeLevelTable#15","Bronze Raising Hammer",1,"Bronze Ingot",1,"Bronze Plate",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
43,10048,"Smithing","RecipeLevelTable#16","Iron Ingot",1,"Iron Ore",3,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"Aspect: None",0,False,50,100,58,0,0,0,0,0,"",True,True,"","",False
44,10054,"Smithing","RecipeLevelTable#16","Plumed Bronze Pickaxe",1,"Bronze Pickaxe",1,"Hard Leather",1,"Crow Feather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
45,10050,"Smithing","RecipeLevelTable#16","Brass Bastard Sword",1,"Bronze Bastard Sword",1,"Brass Ingot",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
46,10053,"Smithing","RecipeLevelTable#16","Chocobotail Saw",1,"Amateur's Saw",1,"Bronze Rivets",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
47,10051,"Smithing","RecipeLevelTable#16","Brass Knuckles",1,"Bronze Knuckles",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
48,10056,"Smithing","RecipeLevelTable#17","Iron War Axe",1,"Iron Ingot",2,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
49,10057,"Smithing","RecipeLevelTable#17","Iron Hatchet",1,"Iron Ingot",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
50,10055,"Smithing","RecipeLevelTable#17","Iron Labrys",1,"Iron Ingot",2,"Elm Lumber",1,"Hard Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
51,10058,"Smithing","RecipeLevelTable#18","Iron Rivets",1,"Iron Ingot",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,,0,"Aspect: None",0,False,50,100,58,0,0,0,0,0,"",True,True,"","",False
52,10059,"Smithing","RecipeLevelTable#18","Iron Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
53,10061,"Smithing","RecipeLevelTable#18","Iron Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
54,10060,"Smithing","RecipeLevelTable#18","Iron Doming Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
55,10063,"Smithing","RecipeLevelTable#19","Iron Awl",1,"Iron Ingot",1,"Elm Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
56,10065,"Smithing","RecipeLevelTable#19","Initiate's Hatchet",1,"Iron Ingot",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
57,10062,"Smithing","RecipeLevelTable#19","Initiate's Head Knife",1,"Iron Ingot",1,"Ash Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
58,10064,"Smithing","RecipeLevelTable#19","Initiate's Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
59,10067,"Smithing","RecipeLevelTable#20","Brass Viking Sword",1,"Viking Sword",1,"Brass Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
60,10071,"Smithing","RecipeLevelTable#20","Iron Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
61,10069,"Smithing","RecipeLevelTable#20","Initiate's Saw",1,"Iron Ingot",1,"Iron Rivets",1,"Ash Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
62,10070,"Smithing","RecipeLevelTable#20","Iron Claw Hammer",1,"Iron Ingot",1,"Elm Lumber",1,"Jellyfish Humours",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
63,10066,"Smithing","RecipeLevelTable#20","Carnage Sword",1,"Brass Bastard Sword",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",1,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
64,10077,"Smithing","RecipeLevelTable#21","Iron Culinary Knife",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
65,10078,"Smithing","RecipeLevelTable#21","Iron Scythe",1,"Iron Ingot",1,"Elm Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
66,10076,"Smithing","RecipeLevelTable#21","Iron Mortar",1,"Iron Ingot",2,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
67,10072,"Smithing","RecipeLevelTable#21","Inferno Axe",1,"Iron War Axe",1,"Iron Ingot",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
68,10073,"Smithing","RecipeLevelTable#21","Initiate's Cross-pein Hammer",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
69,10075,"Smithing","RecipeLevelTable#21","Initiate's Chaser Hammer",1,"Iron Ingot",1,"Iron Rivets",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
70,10074,"Smithing","RecipeLevelTable#21","Initiate's Doming Hammer",1,"Iron Ingot",1,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
71,10081,"Smithing","RecipeLevelTable#22","Iron File",1,"Iron Ingot",2,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
72,10082,"Smithing","RecipeLevelTable#22","Iron Pliers",1,"Iron Ingot",1,"Iron Rivets",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
73,10083,"Smithing","RecipeLevelTable#22","Initiate's Pickaxe",1,"Iron Ingot",1,"Undyed Cotton Cloth",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
74,10079,"Smithing","RecipeLevelTable#22","Iron Shortsword",1,"Iron Ingot",2,"Elm Lumber",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
75,10086,"Smithing","RecipeLevelTable#23","Iron Sledgehammer",1,"Iron Ingot",1,"Elm Lumber",1,"Fish Glue",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
76,10085,"Smithing","RecipeLevelTable#23","Initiate's Awl",1,"Iron Ingot",1,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
77,10084,"Smithing","RecipeLevelTable#23","Spiked Knuckles",1,"Iron Plate",1,"Iron Ingot",1,"Aldgoat Leather",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",1,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
78,10087,"Smithing","RecipeLevelTable#24","Iron Bill",1,"Iron Ingot",2,"Yew Lumber",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
79,10091,"Smithing","RecipeLevelTable#24","Brass Hatchet",1,"Initiate's Hatchet",1,"Brass Ingot",1,"Clove Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
80,10088,"Smithing","RecipeLevelTable#24","Bas-relief Iron Saw",1,"Iron Ingot",1,"Iron Rivets",1,"Elm Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
81,10089,"Smithing","RecipeLevelTable#24","Initiate's Claw Hammer",1,"Iron Ingot",1,"Yew Lumber",1,"Crab Oil",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
82,10090,"Smithing","RecipeLevelTable#24","Initiate's Mortar",1,"Iron Ingot",2,"Yew Lumber",1,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
83,10093,"Smithing","RecipeLevelTable#25","Iron Round Knife",1,"Iron Ingot",1,"Yew Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
84,10092,"Smithing","RecipeLevelTable#25","Iron Spatha",1,"Iron Ingot",1,"Aldgoat Leather",1,"Antelope Horn",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
85,10094,"Smithing","RecipeLevelTable#25","Initiate's Culinary Knife",1,"Iron Ingot",1,"Yew Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
86,10095,"Smithing","RecipeLevelTable#25","Initiate's Scythe",1,"Iron Ingot",1,"Yew Lumber",1,"Mudstone Whetstone",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
87,10096,"Smithing","RecipeLevelTable#26","Steel Ingot",1,"Bomb Ash",1,"Iron Ore",2,"",0,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,,0,"Aspect: None",0,False,50,100,58,0,0,0,0,0,"",True,True,"","",False
88,10101,"Smithing","RecipeLevelTable#26","Iron Ornamental Hammer",1,"Initiate's Chaser Hammer",1,"Iron Rivets",1,"Brass Ingot",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,150,75,100,0,0,0,0,0,"",False,True,"","",False
89,10100,"Smithing","RecipeLevelTable#26","Iron Raising Hammer",1,"Iron Ingot",1,"Iron Plate",1,"Walnut Lumber",1,"",0,"",0,"",0,"",0,"",0,"Fire Shard",2,"Earth Shard",2,"Aspect: None",0,True,100,100,100,0,0,0,0,0,"",True,True,"","",False
